City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Changzhou,CN,2022-01-20 17:55:50,31.7833,119.9667,37.0,67,100,7.9
160,Mahebourg,MU,2022-01-20 17:55:50,-20.4081,57.7,81.25,89,40,4.61
161,Oksfjord,NO,2022-01-20 17:55:50,70.2396,22.3479,31.12,80,100,17.56
162,Lebu,CL,2022-01-20 17:55:51,-37.6167,-73.65,61.93,55,0,9.22
163,Dikson,RU,2022-01-20 17:55:51,73.5069,80.5464,3.72,93,100,17.29
164,Provideniya,RU,2022-01-20 17:55:51,64.3833,-173.3,-12.05,82,11,6.2
165,Isiro,CD,2022-01-20 17:55:52,2.7739,27.616,68.29,58,92,3.2
166,Humaita,BR,2022-01-20 17:55:52,-7.5061,-63.0208,91.85,50,93,5.5
167,Asahikawa,JP,2022-01-20 17:55:52,43.7678,142.3703,3.81,99,71,1.77
168,Esperance,AU,2022-01-20 17:55:52,-33.8667,121.9,58.84,87,0,11.05
169,Tekeli,KZ,2022-01-20 17:55:53,44.83,78.8239,17.53,72,81,9.84
170,Basco,PH,2022-01-20 17:55:53,20.4487,121.9702,73.92,79,100,29.3
171,Ville-Marie,CA,2022-01-20 17:55:54,47.3335,-79.433,-13.0,80,47,5.82
172,Ust-Tsilma,RU,2022-01-20 17:55:54,65.441,52.1498,19.76,93,100,10.45
173,Te Anau,NZ,2022-01-20 17:55:54,-45.4167,167.7167,50.76,90,100,1.43
174,Leh,IN,2022-01-20 17:55:54,34.1667,77.5833,3.13,91,93,3.31
175,Upernavik,GL,2022-01-20 17:55:55,72.7868,-56.1549,11.55,90,100,24.81
176,Ballina,AU,2022-01-20 17:55:55,-28.8667,153.5667,73.36,38,40,18.41
177,Pisco,PE,2022-01-20 17:55:55,-13.7,-76.2167,77.05,65,0,11.5
178,Torbay,CA,2022-01-20 17:55:56,47.6666,-52.7314,44.76,93,100,23.02
179,Palmer,US,2022-01-20 17:51:05,42.1584,-72.3287,34.93,53,75,3.0
180,Kontagora,NG,2022-01-20 17:55:56,10.3999,5.4695,80.28,15,28,4.81
181,Ilulissat,GL,2022-01-20 17:55:56,69.2167,-51.1,18.73,93,100,8.14
182,Urumqi,CN,2022-01-20 17:55:57,43.801,87.6005,16.75,93,75,2.24
183,Aklavik,CA,2022-01-20 17:55:57,68.2191,-135.0107,-14.8,70,75,9.22
184,Lipari,IT,2022-01-20 17:56:57,38.4674,14.954,55.54,60,19,4.5
185,Kirakira,SB,2022-01-20 17:56:57,-10.4544,161.9205,78.87,89,77,15.52
186,Timmins,CA,2022-01-20 17:52:07,48.4669,-81.3331,-13.18,64,20,6.91
187,Lufilufi,WS,2022-01-20 17:56:31,-13.8745,-171.5986,76.78,83,100,24.61
188,Kieta,PG,2022-01-20 17:56:58,-6.2167,155.6333,78.33,82,100,2.73
189,Shellbrook,CA,2022-01-20 17:56:58,53.2168,-106.4011,0.34,88,61,10.74
190,Dicabisagan,PH,2022-01-20 17:56:58,17.0818,122.4157,73.83,90,96,5.32
191,Newport,GB,2022-01-20 17:54:02,51.5877,-2.9984,40.77,71,13,8.25
192,Los Llanos De Aridane,ES,2022-01-20 17:56:29,28.6585,-17.9182,65.12,70,75,1.99
193,Meulaboh,ID,2022-01-20 17:56:59,4.1363,96.1285,76.57,87,66,3.18
194,Kosino,RU,2022-01-20 17:56:59,58.4127,51.2782,19.76,94,100,13.87
195,Tazovskiy,RU,2022-01-20 17:56:59,67.4667,78.7,7.92,92,100,15.12
196,Salalah,OM,2022-01-20 17:56:40,17.0151,54.0924,73.65,72,32,2.84
197,Tuchola,PL,2022-01-20 17:56:59,53.5879,17.8591,31.05,57,93,18.01
198,Ransang,PH,2022-01-20 17:57:00,8.9603,117.5828,77.22,87,70,3.11
199,Bouake,CI,2022-01-20 17:57:00,7.6895,-5.0218,91.51,11,66,9.22
200,Miramar,US,2022-01-20 17:57:00,25.9873,-80.2323,80.62,70,76,8.01
201,Ostrovnoy,RU,2022-01-20 17:57:00,68.0531,39.5131,18.64,78,100,6.62
202,Port Alfred,ZA,2022-01-20 17:52:43,-33.5906,26.891,76.14,86,6,9.31
203,Yamada,JP,2022-01-20 17:57:01,39.4667,141.95,25.09,82,75,5.55
204,Henties Bay,NA,2022-01-20 17:57:01,-22.116,14.2845,71.85,87,87,3.89
205,Puerto Ayora,EC,2022-01-20 17:57:02,-0.7393,-90.3518,84.16,85,98,8.7
206,Ocos,GT,2022-01-20 17:57:02,14.5094,-92.1933,90.73,64,23,9.01
207,Concordia,AR,2022-01-20 17:57:03,-31.393,-58.0209,96.87,57,20,7.0
208,Anchorage,US,2022-01-20 17:54:21,61.2181,-149.9003,26.92,94,75,3.44
209,Kysyl-Syr,RU,2022-01-20 17:57:03,63.8986,122.7617,-4.38,99,100,3.13
210,Ahja,EE,2022-01-20 17:57:04,58.2091,27.0734,30.38,90,99,9.98
