City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,Bireun,ID,76.78,clear sky,5.203,96.7009,Rumah Bp.AR. ISMAIL
425,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
427,Sapa,PH,78.06,overcast clouds,5.1544,120.3241,
428,Osorio,BR,81.16,scattered clouds,-29.8867,-50.2697,Hotel Litoral
430,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
431,Alyangula,AU,87.03,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
433,Tautira,PF,82.42,moderate rain,-17.7333,-149.15,Pension Oaoa
435,Quepos,CR,83.5,few clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
437,Dingle,PH,79.88,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
444,Porto Novo,BJ,75.74,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
447,Victor Harbor,AU,89.69,overcast clouds,-35.5667,138.6167,McCracken Country Club
466,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
467,Port Moresby,PG,84.61,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
470,Mahibadhoo,MV,80.51,overcast clouds,3.7833,72.9667,Omadhoo Inn
474,Stawell,AU,81.84,clear sky,-37.05,142.7667,Motel Stawell
477,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
484,Kirakira,SB,79.45,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
487,Acarau,BR,78.06,scattered clouds,-2.8856,-40.12,castelo pizzaria
495,Tierralta,CO,77.76,overcast clouds,8.1736,-76.0592,Hotel La Marqueza
507,Formosa,AR,89.58,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
508,Maldonado,UY,75.22,overcast clouds,-34.6667,-54.9167,La Cimarrona
510,Kununurra,AU,87.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
512,Lethem,GY,78.84,overcast clouds,3.3803,-59.7968,Savannah Inn
514,Aloleng,PH,79.29,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
515,Lahaina,US,82.4,light rain,20.8783,-156.6825,Lahaina Shores Beach Resort
517,Sattahip,TH,83.23,broken clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
520,Imbituba,BR,82.29,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
527,Puerto Carreno,CO,87.19,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
529,Poum,NC,82.69,overcast clouds,-20.2333,164.0167,Gîte kajeon
530,Sagua La Grande,CU,76.19,clear sky,22.8067,-80.0756,Hotel Telégrafo
539,Tevaitoa,PF,80.6,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
542,Honiara,SB,79.92,moderate rain,-9.4333,159.95,Heritage Park Hotel
545,Mayumba,GA,76.96,moderate rain,-3.432,10.6554,LIKWALE LODGE
546,Mount Gambier,AU,86.41,clear sky,-37.8333,140.7667,The Commodore
560,Delta Del Tigre,UY,77.11,clear sky,-34.7633,-56.3853,FINCA SUAREZ
562,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
570,Sulangan,PH,79.23,clear sky,11.1373,123.7228,Maia's Beach Resort
571,Lakes Entrance,AU,77.58,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
574,Gombong,ID,83.84,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
577,Thinadhoo,MV,81.3,overcast clouds,0.5333,72.9333,
583,Santa Cruz Del Sur,CU,76.71,light rain,20.7147,-77.9956,
593,Grand-Lahou,CI,77.5,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
595,Obidos,BR,80.78,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
597,Mackay,AU,78.67,broken clouds,-21.15,149.2,International Lodge Motel
606,Benalla,AU,79.14,clear sky,-36.55,145.9833,Rose City Motor Inn
616,Cairns,AU,87.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
619,Mazagao,BR,82.45,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
622,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
633,Amahai,ID,83.07,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
642,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
645,Saint-Joseph,RE,77.36,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
649,Catamarca,AR,84.78,moderate rain,-28.4696,-65.7852,Amerian Catamarca Park Hotel
651,Springbok,ZA,76.39,overcast clouds,-29.6643,17.8865,Undulata Country Lodge
652,Kudahuvadhoo,MV,80.65,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
665,Labuan,MY,77.16,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
666,Tecoanapa,MX,78.73,clear sky,16.5167,-98.75,Hotel Manglares
668,Puerto El Triunfo,SV,75.36,clear sky,13.2833,-88.55,Hotel Jardin
672,Maumere,ID,81.84,overcast clouds,-8.6199,122.2111,Sylvia Hotel
678,Phanat Nikhom,TH,83.16,overcast clouds,13.4458,101.1844,I-Destiny Gallery Resort
