City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Kalianget,ID,-7.05,113.9333,76.64,85,100,5.37,overcast clouds
119,Yellowknife,CA,62.456,-114.3525,-10.68,77,100,16.11,light snow
120,Honningsvag,NO,70.9821,25.9704,28.74,69,100,25.1,light snow
121,Kampot,KH,10.6167,104.1833,77.05,71,47,2.75,scattered clouds
122,Villanueva,HN,15.3167,-88.0,77.04,78,20,8.05,few clouds
123,Bubaque,GW,11.2833,-15.8333,78.57,75,52,10.18,broken clouds
124,Codrington,AU,-38.2667,141.9667,86.16,27,0,8.28,clear sky
125,Lebu,CL,-37.6167,-73.65,55.53,78,0,2.06,clear sky
126,Port-Gentil,GA,-0.7193,8.7815,79.43,79,100,7.18,overcast clouds
127,Egvekinot,RU,66.3167,-179.1667,-12.21,72,0,17.63,clear sky
128,Cidreira,BR,-30.1811,-50.2056,77.04,91,3,14.38,clear sky
129,Jiaozuo,CN,35.2397,113.2331,28.69,92,100,7.27,snow
130,Hamilton,US,39.1834,-84.5333,24.12,59,80,1.01,broken clouds
131,Arraial Do Cabo,BR,-22.9661,-42.0278,75.96,89,22,14.18,few clouds
132,Hambantota,LK,6.1241,81.1185,68.34,100,88,2.3,overcast clouds
133,Avarua,CK,-21.2078,-159.775,78.85,94,100,19.57,overcast clouds
134,Chokurdakh,RU,70.6333,147.9167,-36.63,97,94,5.99,overcast clouds
135,Hermanus,ZA,-34.4187,19.2345,60.91,85,0,9.51,clear sky
136,East London,ZA,-33.0153,27.9116,71.76,82,98,17.65,overcast clouds
137,Marsa Matruh,EG,31.3525,27.2453,50.52,61,50,9.15,scattered clouds
138,Sao Filipe,CV,14.8961,-24.4956,72.55,80,100,3.11,overcast clouds
139,Mchinji,MW,-13.7984,32.8802,58.78,94,82,2.77,broken clouds
140,Cabo San Lucas,MX,22.8909,-109.9124,76.14,62,100,1.01,overcast clouds
141,Sinnamary,GF,5.3833,-52.95,77.02,90,69,12.26,broken clouds
142,Bom Jesus,BR,-9.0744,-44.3586,77.18,68,77,0.36,broken clouds
143,Nikolskoye,RU,59.7035,30.7861,30.09,96,86,4.61,overcast clouds
144,Roma,US,43.2128,-75.4557,13.42,76,54,8.99,broken clouds
145,Itoman,JP,26.1247,127.6694,62.62,55,40,10.36,scattered clouds
146,Suileng,CN,47.25,127.0833,-9.45,92,100,1.72,overcast clouds
147,Manturovo,RU,58.3353,44.7619,17.22,92,100,10.54,overcast clouds
148,La Ronge,CA,55.1001,-105.2842,7.05,78,100,11.5,overcast clouds
149,Killybegs,IE,54.6333,-8.45,39.45,70,100,5.73,overcast clouds
150,Souillac,MU,-20.5167,57.5167,80.98,89,75,11.5,broken clouds
151,Bekescsaba,HU,46.6833,21.1,28.58,65,13,1.99,few clouds
152,Loviisa,FI,60.4566,26.2251,26.46,82,100,18.5,light snow
153,Turmalina,BR,-17.2856,-42.73,66.7,94,0,2.15,clear sky
154,Chuy,UY,-33.6971,-53.4616,74.89,95,35,9.86,scattered clouds
155,Mineros,BO,-17.1167,-63.2333,81.99,70,83,3.13,broken clouds
156,Geraldton,AU,-28.7667,114.6,99.01,9,0,16.11,clear sky
157,Itarema,BR,-2.9248,-39.9167,78.21,84,64,10.07,broken clouds
158,Denpasar,ID,-8.65,115.2167,82.06,78,40,14.97,scattered clouds
159,Touros,BR,-5.1989,-35.4608,81.5,72,99,9.82,overcast clouds
160,Fort William,GB,56.8165,-5.1121,42.78,95,96,3.65,overcast clouds
161,Fortuna,US,40.5982,-124.1573,57.42,90,0,1.01,clear sky
162,Boende,CD,-0.2167,20.8667,72.43,84,36,0.81,scattered clouds
163,Acajutla,SV,13.5928,-89.8275,77.14,71,5,6.49,clear sky
164,Rio Gallegos,AR,-51.6226,-69.2181,62.65,59,20,27.63,few clouds
165,Urucara,BR,-2.5364,-57.76,78.15,76,100,2.71,overcast clouds
166,Vila,PT,42.0304,-8.1588,39.33,88,2,4.7,clear sky
167,Faya,SA,18.3851,42.4509,46.92,74,0,3.74,clear sky
168,Ambanja,MG,-13.6833,48.45,73.56,95,100,3.51,light rain
169,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,69,75,17.27,light snow
170,Phangnga,TH,8.4509,98.5298,75.24,83,9,3.15,clear sky
171,Carepa,CO,7.7585,-76.6525,82.18,83,40,9.22,scattered clouds
172,Marawi,PH,7.9986,124.2928,68.65,69,100,2.51,overcast clouds
173,Tuatapere,NZ,-46.1333,167.6833,59.83,66,32,10.29,scattered clouds
174,Tual,ID,-5.6667,132.75,83.12,78,72,19.53,broken clouds
175,Bandarbeyla,SO,9.4942,50.8122,75.31,75,68,17.31,broken clouds
176,Qaqortoq,GL,60.7167,-46.0333,20.77,88,100,21.21,overcast clouds
177,Bogale,MM,16.2833,95.4,69.35,85,16,4.92,few clouds
178,Waipawa,NZ,-41.4122,175.5153,67.3,48,20,8.37,few clouds
179,Matara,LK,5.9485,80.5353,71.35,87,50,3.04,scattered clouds
180,West Wendover,US,40.7391,-114.0733,34.45,64,100,1.68,overcast clouds
181,Asau,RO,46.4333,26.4,31.39,77,73,7.83,light snow
182,Georgetown,MY,5.4112,100.3354,80.89,78,20,1.01,haze
183,Port Pirie,AU,-33.1833,138.0167,86.83,41,96,18.03,overcast clouds
184,Kozhevnikovo,RU,56.2589,83.9714,-7.46,100,91,3.91,overcast clouds
185,Komsomolskiy,UZ,40.4272,71.7189,33.22,68,0,3.96,clear sky
186,Turayf,SA,31.6725,38.6637,32.59,80,1,5.7,clear sky
187,Tombouctou,ML,20.0,-3.0,60.26,21,0,10.42,clear sky
188,Saint Paul,US,44.9444,-93.0933,0.57,67,0,0.0,clear sky
189,Yulara,AU,-25.2406,130.9889,76.86,69,100,8.14,overcast clouds
190,Vryburg,ZA,-26.9566,24.7284,69.58,65,93,3.85,overcast clouds
191,Alofi,NU,-19.0595,-169.9187,81.27,75,9,21.77,clear sky
192,Salamanca,ES,40.8333,-6.0,34.99,92,5,9.26,clear sky
193,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.73,96,84,1.19,broken clouds
194,Bathsheba,BB,13.2167,-59.5167,77.02,79,23,21.3,few clouds
195,Kjollefjord,NO,70.9457,27.3465,26.73,79,100,22.79,light snow
196,Half Moon Bay,US,37.4636,-122.4286,65.21,74,0,1.01,clear sky
197,Banjar,ID,-8.19,114.9675,82.26,82,100,3.58,overcast clouds
198,Clyde River,CA,70.4692,-68.5914,-1.97,78,95,5.75,light snow
199,Hualmay,PE,-11.0964,-77.6139,71.28,86,94,11.23,overcast clouds
200,Shingu,JP,33.7333,135.9833,41.25,40,74,5.59,broken clouds
201,Rypefjord,NO,70.6333,23.6667,27.07,63,20,18.41,mist
202,Oranjemund,NA,-28.55,16.4333,66.81,79,12,12.01,few clouds
203,Coromandel,BR,-18.4733,-47.2003,66.63,83,0,3.71,clear sky
204,Moron,AR,-34.6534,-58.6198,80.02,90,0,5.99,light rain
205,Saldanha,ZA,-33.0117,17.9442,62.94,87,0,12.77,clear sky
206,Butajira,ET,8.1167,38.3667,54.77,87,93,7.9,overcast clouds
207,Talnakh,RU,69.4865,88.3972,15.21,95,100,13.67,light snow
208,Aguimes,ES,27.9054,-15.4461,59.67,72,20,3.44,few clouds
209,Qaanaaq,GL,77.484,-69.3632,16.36,86,100,2.59,overcast clouds
210,Mildura,AU,-34.2,142.15,87.08,37,100,19.69,overcast clouds
211,Quatre Cocos,MU,-20.2078,57.7625,80.71,83,41,13.89,light rain
212,Oakdale,US,44.963,-92.9649,-0.58,68,0,5.75,clear sky
213,Yumen,CN,40.2833,97.2,19.11,52,0,5.75,clear sky
214,Kiama,AU,-34.6833,150.8667,75.99,66,95,11.56,overcast clouds
215,Kargil,IN,34.5667,76.1,-10.3,95,100,2.86,overcast clouds
216,Barrow,US,71.2906,-156.7887,-20.18,76,0,8.05,clear sky
217,Vardo,NO,70.3705,31.1107,30.65,77,98,32.99,light snow
218,Chapais,CA,49.7834,-74.8492,-22.22,100,24,4.34,few clouds
219,Grindavik,IS,63.8424,-22.4338,45.07,93,40,31.07,scattered clouds
220,Xining,CN,36.6167,101.7667,23.88,44,0,1.23,clear sky
221,Itapirapua,BR,-15.8233,-50.6133,71.98,87,2,2.17,clear sky
222,Faanui,PF,-16.4833,-151.75,80.87,76,100,19.55,light rain
223,Looc,PH,12.2605,121.9926,80.96,73,56,12.66,broken clouds
224,Hobyo,SO,5.3505,48.5268,77.45,72,100,17.96,overcast clouds
225,Monrovia,LR,6.3005,-10.7969,78.85,78,100,2.19,overcast clouds
226,Itaituba,BR,-4.2761,-55.9836,75.13,90,69,2.1,broken clouds
227,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,94,100,6.91,light rain
228,Banda Aceh,ID,5.5577,95.3222,79.2,77,90,2.51,overcast clouds
229,Gat,IL,31.61,34.7642,47.08,100,16,5.17,few clouds
230,Cascais,PT,38.6979,-9.4215,53.98,50,0,1.99,clear sky
231,Fort-Shevchenko,KZ,44.5086,50.263,31.98,72,100,18.01,overcast clouds
232,Mahebourg,MU,-20.4081,57.7,80.89,89,75,14.97,broken clouds
233,Zalantun,CN,48.0,122.7167,-1.43,85,100,0.94,overcast clouds
234,Changji,CN,44.0167,87.3167,23.79,93,100,2.24,mist
235,Champagnole,FR,46.7445,5.9135,34.84,79,9,9.08,clear sky
236,Vao,NC,-22.6667,167.4833,76.17,90,100,15.73,overcast clouds
237,Condoto,CO,5.0935,-76.6497,74.91,98,69,2.3,broken clouds
238,Burns Lake,CA,54.2331,-125.7533,27.28,91,0,3.56,clear sky
239,Ambunti,PG,-4.2365,142.8448,85.28,69,91,3.58,overcast clouds
240,Litovko,RU,49.2361,135.1742,-14.73,97,85,1.41,overcast clouds
241,Port Hardy,CA,50.6996,-127.4199,44.76,88,81,7.56,broken clouds
242,Yar-Sale,RU,66.8333,70.8333,12.92,89,99,21.39,overcast clouds
243,Saint Anthony,US,45.0205,-93.218,-0.06,69,0,1.01,clear sky
244,Mandalgovi,MN,45.7625,106.2708,6.66,85,13,7.72,few clouds
245,Pevek,RU,69.7008,170.3133,-35.0,96,20,1.9,few clouds
246,Lusambo,CD,-4.9667,23.45,68.59,99,100,0.87,light rain
247,Waitati,NZ,-45.75,170.5667,63.81,58,87,9.98,overcast clouds
248,Bantou,CN,26.2151,117.4893,55.42,77,32,3.33,scattered clouds
249,Tahoua,NE,14.8888,5.2692,56.26,24,0,12.08,clear sky
250,Bilibino,RU,68.0546,166.4372,-28.17,82,4,3.38,clear sky
251,Nouadhibou,MR,20.931,-17.0347,65.93,74,100,10.74,overcast clouds
252,Dodge City,US,37.7528,-100.0171,18.25,44,0,4.0,clear sky
253,Constitucion,CL,-35.3333,-72.4167,54.57,78,0,10.33,clear sky
254,Cherskiy,RU,68.75,161.3,-38.76,99,17,1.83,few clouds
255,Cap Malheureux,MU,-19.9842,57.6142,81.09,87,27,3.0,scattered clouds
256,Whitianga,NZ,-36.8333,175.7,73.89,42,4,9.51,clear sky
257,Thompson,CA,55.7435,-97.8558,0.48,83,100,12.75,overcast clouds
258,Tezu,IN,27.9167,96.1667,55.65,73,99,2.33,overcast clouds
259,Wexford,IE,52.3342,-6.4575,43.57,83,100,3.98,overcast clouds
260,Doha,QA,25.2867,51.5333,58.98,55,0,14.97,clear sky
261,Novyy Urgal,RU,51.0736,132.5642,-21.03,98,97,0.56,overcast clouds
262,Zhigalovo,RU,54.8097,105.1578,-13.9,100,100,0.51,overcast clouds
263,Awbari,LY,26.5921,12.7805,48.04,55,0,6.73,clear sky
264,Hasaki,JP,35.7333,140.8333,37.8,46,1,19.62,clear sky
265,Jagatsinghapur,IN,20.2667,86.1667,64.76,92,23,1.34,few clouds
266,Pedernales,DO,18.0384,-71.744,77.0,64,0,7.36,clear sky
267,Rengo,CL,-34.4167,-70.8667,61.97,33,0,1.57,clear sky
268,Empalme,MX,27.9667,-110.8167,74.91,37,0,10.65,clear sky
269,Dryden,CA,49.7833,-92.7503,-7.47,96,13,7.74,few clouds
270,Port Hedland,AU,-20.3167,118.5667,93.25,46,1,5.75,clear sky
271,Hovd,MN,48.0056,91.6419,9.27,96,100,2.93,overcast clouds
272,Yar,RU,58.249,52.1026,20.23,90,100,12.55,overcast clouds
273,Acapulco,MX,16.8634,-99.8901,77.67,77,25,8.28,scattered clouds
274,Upernavik,GL,72.7868,-56.1549,-0.8,92,100,11.05,overcast clouds
275,Pitimbu,BR,-7.4706,-34.8086,79.39,78,16,8.5,few clouds
276,Mehran,IR,33.1222,46.1646,37.24,50,0,6.24,clear sky
277,Kodinsk,RU,58.6881,99.1844,2.32,100,96,2.42,overcast clouds
